County,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Geauga,47573,50509,52722,54873,57134,59321,61449,61862,61998,62148,62977,63200,63500,65800,66100,67700,67800,70400,73300,73600,74474,74750,74939,75171,75239,75562,76267,76931,79151,80400,81087,82225,83175,82257,83391,84815,86448,88072,89231,90085,90895,91429,91970,93042,93218,93614,93839,93742,93583,93446,93389
Greene,94642,99508,103240,106827,110417,113930,117309,118673,119136,120705,125057,126800,125700,126600,125900,125800,128100,128600,129400,129800,129769,129725,130099,129763,129138,129898,130523,132249,133439,135427,136731,139451,141130,142315,143529,145481,145298,144580,146266,147479,147886,149643,151537,153064,155442,156223,157850,159055,160115,161075,161573
Guernsey,38579,38714,38689,38690,38706,38645,38494,38485,38557,38510,37665,39300,39700,39900,40400,40600,40400,40200,40500,41000,42024,41941,41708,41557,41099,40558,39830,39726,39584,39429,39024,39154,39300,39356,39716,40080,40358,40486,40736,40754,40792,40860,40991,41138,40965,40752,40600,40531,40347,40242,40087
Hamilton,864121,883193,897639,911051,924641,937282,947873,949876,950451,945829,925944,922800,913900,912100,905200,892900,894100,890000,886500,879500,873204,872014,871027,869026,868534,870575,872226,873550,871861,868633,866228,870139,872223,873002,869754,865970,862440,859490,855976,849917,845303,840335,832390,825139,817306,810352,804913,801815,799840,802149,802374
Hancock,53686,54946,55939,56881,57884,58726,59502,60244,61001,61905,61217,62000,62700,63400,63900,63900,63900,64100,64900,64700,64581,64809,64889,65011,65560,65763,65384,65511,65724,65807,65536,66329,67167,67776,68477,69158,69599,69902,70482,71019,71295,71972,72617,73118,73532,73585,74167,74712,74781,74964,74782
Hardin,29633,29700,29736,29766,29766,29703,29649,29988,30345,30389,30813,30900,32100,32500,32000,32000,32400,32300,32600,32300,32719,32546,32041,31597,31485,31516,31250,31354,31079,31223,31111,31242,31229,31380,31509,31719,31733,31890,31910,31966,31945,31753,31804,31729,32119,31983,31939,32132,32200,32185,32058
Harrison,17995,17804,17615,17446,17256,17055,16883,17051,17168,17183,17013,17200,17400,17700,17800,17700,17600,17300,17400,17800,18152,17638,17669,17546,17113,16882,16569,15972,16077,16262,16085,15974,15917,15990,15831,15853,15902,15999,15956,15880,15856,15796,15902,16002,15856,15907,15868,15901,15856,15860,15864
Henry,25392,25854,26181,26437,26706,26915,27108,27239,27429,27505,27058,27500,28200,28500,28400,28400,28300,28400,29000,28600,28383,28465,28159,28358,28482,28675,28619,28719,28745,29101,29108,29187,29329,29281,29292,29421,29507,29499,29394,29267,29210,29055,29119,29021,29014,29031,29026,28671,28523,28322,28215
Highland,29716,29885,29991,30118,30197,30280,30286,30406,30802,31026,28996,29800,30000,30800,31500,31300,32800,33300,33500,33500,33477,33805,33600,33541,33722,33828,34088,34712,35074,35609,35728,36403,37045,37637,38136,38691,39120,39251,39933,40539,40875,41295,41857,42269,42938,42967,43562,43845,43700,43578,43589
Hocking,20168,20298,20417,20452,20501,20513,20482,20612,20764,20851,20322,20900,21500,21400,22200,22300,22900,23200,23300,24000,24304,24226,24118,24443,24562,24463,24575,24817,24796,25277,25533,25903,26442,26766,27027,27443,27832,27939,28082,28222,28241,28452,28653,28823,28962,29058,29097,29418,29445,29358,29380
