County,Year,Population
Putnam,1988,33609
Richland,1988,127167
Ross,1988,67973
Sandusky,1988,62222
Scioto,1988,80880
Seneca,1988,60034
Shelby,1988,44015
Stark,1988,367442
Summit,1988,511698
Trumbull,1988,228936
Tuscarawas,1988,83912
Union,1988,31565
Van Wert,1988,30682
Vinton,1988,11218
Warren,1988,109842
Washington,1988,62487
Wayne,1988,101426
Williams,1988,37274
Wood,1988,112603
Wyandot,1988,22285
Ohio,1989,10829216
Adams,1989,25206
Allen,1989,110270
Ashland,1989,47499
Ashtabula,1989,99664
Athens,1989,59612
Auglaize,1989,44501
Belmont,1989,72239
Brown,1989,34574
Butler,1989,286469
Carroll,1989,26399
Champaign,1989,35728
Clark,1989,147720
Clermont,1989,147784
Clinton,1989,34959
Columbiana,1989,107847
Coshocton,1989,35549
Crawford,1989,48210
Cuyahoga,1989,1417480
Darke,1989,53787
Defiance,1989,39275
Delaware,1989,65127
Erie,1989,76781
Fairfield,1989,102105
Fayette,1989,27441
Franklin,1989,952215
Fulton,1989,38422
Gallia,1989,30876
Geauga,1989,80400
Greene,1989,135427
Guernsey,1989,39429
Hamilton,1989,868633
Hancock,1989,65807
Hardin,1989,31223
Harrison,1989,16262
Henry,1989,29101
Highland,1989,35609
Hocking,1989,25277
Holmes,1989,32719
Huron,1989,56025
Jackson,1989,30173
Jefferson,1989,81085
Knox,1989,47136
Lake,1989,214747
Lawrence,1989,61634
Licking,1989,126738
Logan,1989,42091
Lorain,1989,270225
Lucas,1989,464013
Madison,1989,37036
Mahoning,1989,265756
Marion,1989,64307
Medina,1989,120850
Meigs,1989,22975
Mercer,1989,39168
Miami,1989,92871
Monroe,1989,15564
Montgomery,1989,574060
Morgan,1989,14262
Morrow,1989,27613
Muskingum,1989,82143
Noble,1989,11378
Ottawa,1989,40081
Paulding,1989,20658
Perry,1989,31560
Pickaway,1989,48335
Pike,1989,24057
Portage,1989,142255
Preble,1989,40030
Putnam,1989,33845
Richland,1989,126590
Ross,1989,69142
Sandusky,1989,62101
Scioto,1989,80392
Seneca,1989,59955
Shelby,1989,44565
Stark,1989,368082
Summit,1989,513371
Trumbull,1989,228426
Tuscarawas,1989,84241
Union,1989,31908
Van Wert,1989,30713
Vinton,1989,11176
Warren,1989,112219
Washington,1989,62527
Wayne,1989,101160
Williams,1989,36811
Wood,1989,113125
Wyandot,1989,22415
Ohio,1990,10847115
Adams,1990,25371
Allen,1990,109755
Ashland,1990,47507
Ashtabula,1990,99880
Athens,1990,59549
Auglaize,1990,44585
Belmont,1990,71074
Brown,1990,34966
Butler,1990,291479
Carroll,1990,26521
Champaign,1990,36019
Clark,1990,147538
Clermont,1990,150094
Clinton,1990,35444
Columbiana,1990,108276
Coshocton,1990,35427
Crawford,1990,47870
Cuyahoga,1990,1412140
Darke,1990,53617
Defiance,1990,39350
Delaware,1990,66929
Erie,1990,76781
Fairfield,1990,103468
Fayette,1990,27466
Franklin,1990,961437
Fulton,1990,38498
Gallia,1990,30954
Geauga,1990,81087
Greene,1990,136731
Guernsey,1990,39024
Hamilton,1990,866228
Hancock,1990,65536
Hardin,1990,31111
Harrison,1990,16085
Henry,1990,29108
Highland,1990,35728
Hocking,1990,25533
Holmes,1990,32849
Huron,1990,56238
Jackson,1990,30230
Jefferson,1990,80298
Knox,1990,47473
Lake,1990,215500
Lawrence,1990,61834
Licking,1990,128300
Logan,1990,42310
Lorain,1990,271126
Lucas,1990,462361
Madison,1990,37078
Mahoning,1990,264806
Marion,1990,64274
Medina,1990,122354
Meigs,1990,22987
Mercer,1990,39443
Miami,1990,93184
Monroe,1990,15497
Montgomery,1990,573809
Morgan,1990,14194
Morrow,1990,27749
Muskingum,1990,82068
Noble,1990,11336
Ottawa,1990,40029
Paulding,1990,20488
Perry,1990,31557
Pickaway,1990,48248
Pike,1990,24249
Portage,1990,142585
Preble,1990,40113
Putnam,1990,33819
Richland,1990,126137
Ross,1990,69330
Sandusky,1990,61963
Scioto,1990,80327
Seneca,1990,59733
Shelby,1990,44915
Stark,1990,367585
Summit,1990,514990
Trumbull,1990,227795
Tuscarawas,1990,84090
Union,1990,31969
Van Wert,1990,30464
Vinton,1990,11098
Warren,1990,113973
Washington,1990,62254
Wayne,1990,101461
Williams,1990,36956
Wood,1990,113269
Wyandot,1990,22254
Ohio,1991,10945762
Adams,1991,25731
Allen,1991,109916
Ashland,1991,48099
Ashtabula,1991,100255
Athens,1991,59728
Auglaize,1991,45257
Belmont,1991,70697
Brown,1991,35625
Butler,1991,299492
Carroll,1991,26878
Champaign,1991,36411
Clark,1991,147747
Clermont,1991,154020
Clinton,1991,35998
Columbiana,1991,109386
Coshocton,1991,35605
Crawford,1991,47745
Cuyahoga,1991,1417671
Darke,1991,53589
Defiance,1991,39516
Delaware,1991,70273
Erie,1991,77227
Fairfield,1991,105605
Fayette,1991,27783
Franklin,1991,981175
Fulton,1991,38963
Gallia,1991,30987
Geauga,1991,82225
Greene,1991,139451
Guernsey,1991,39154
Hamilton,1991,870139
Hancock,1991,66329
Hardin,1991,31242
Harrison,1991,15974
Henry,1991,29187
Highland,1991,36403
Hocking,1991,25903
Holmes,1991,33399
Huron,1991,56932
Jackson,1991,30721
Jefferson,1991,79968
Knox,1991,47894
Lake,1991,218236
Lawrence,1991,62053
Licking,1991,130696
Logan,1991,43023
Lorain,1991,273893
Lucas,1991,462292
Madison,1991,37749
Mahoning,1991,265294
Marion,1991,64232
Medina,1991,125487
Meigs,1991,23076
Mercer,1991,39696
Miami,1991,94025
Monroe,1991,15379
Montgomery,1991,576333
Morgan,1991,14198
Morrow,1991,27982
Muskingum,1991,82081
Noble,1991,11523
Ottawa,1991,40061
Paulding,1991,20362
Perry,1991,31716
Pickaway,1991,48835
Pike,1991,24599
Portage,1991,143981
Preble,1991,40301
Putnam,1991,34112
Richland,1991,127040
Ross,1991,70319
Sandusky,1991,62452
Scioto,1991,80083
Seneca,1991,59570
Shelby,1991,45604
Stark,1991,370147
Summit,1991,520497
Trumbull,1991,228779
Tuscarawas,1991,85051
Union,1991,32625
Van Wert,1991,30322
Vinton,1991,11275
Warren,1991,116883
Washington,1991,62271
Wayne,1991,102524
Williams,1991,37206
Wood,1991,113351
Wyandot,1991,22248
Ohio,1992,11029431
Adams,1992,26044
Allen,1992,110242
Ashland,1992,48709
Ashtabula,1992,100657
Athens,1992,59739
Auglaize,1992,45793
Belmont,1992,70706
Brown,1992,36351
Butler,1992,305085
Carroll,1992,27025
Champaign,1992,36634
Clark,1992,147584
Clermont,1992,157006
Clinton,1992,36483
Columbiana,1992,110346
Coshocton,1992,35743
Crawford,1992,47647
Cuyahoga,1992,1422812
Darke,1992,53579
Defiance,1992,39428
Delaware,1992,72549
Erie,1992,77709
Fairfield,1992,108021
Fayette,1992,27853
Franklin,1992,995873
Fulton,1992,39566
Gallia,1992,31852
Geauga,1992,83175
Greene,1992,141130
Guernsey,1992,39300
Hamilton,1992,872223
Hancock,1992,67167
Hardin,1992,31229
Harrison,1992,15917
Henry,1992,29329
Highland,1992,37045
Hocking,1992,26442
Holmes,1992,33822
Huron,1992,57152
Jackson,1992,31239
Jefferson,1992,79589
Knox,1992,48662
Lake,1992,220473
Lawrence,1992,62431
Licking,1992,131967
Logan,1992,43537
Lorain,1992,276174
Lucas,1992,462571
Madison,1992,38624
Mahoning,1992,266478
Marion,1992,64475
Medina,1992,128402
Meigs,1992,23213
Mercer,1992,39868
Miami,1992,94746
Monroe,1992,15231
Montgomery,1992,578604
Morgan,1992,14362
Morrow,1992,28317
Muskingum,1992,82396
Noble,1992,11537
Ottawa,1992,40039
Paulding,1992,20217
Perry,1992,32189
Pickaway,1992,50158
Pike,1992,25127
Portage,1992,145558
Preble,1992,40623
Putnam,1992,34300
Richland,1992,127475
Ross,1992,70949
Sandusky,1992,62590
Scioto,1992,80731
Seneca,1992,59547
Shelby,1992,45853
Stark,1992,372374
Summit,1992,524194
Trumbull,1992,229463
Tuscarawas,1992,85796
Union,1992,33472
Van Wert,1992,30222
Vinton,1992,11485
Warren,1992,119214
Washington,1992,62862
Wayne,1992,103666
Williams,1992,37573
Wood,1992,113618
Wyandot,1992,22273
Ohio,1993,11101140
Adams,1993,26299
Allen,1993,110262
Ashland,1993,49865
Ashtabula,1993,101092
Athens,1993,60240
Auglaize,1993,46106
Belmont,1993,70620
Brown,1993,37141
Butler,1993,310942
Carroll,1993,27316
Champaign,1993,37035
Clark,1993,147442
Clermont,1993,160158
Clinton,1993,36807
Columbiana,1993,111043
Coshocton,1993,36005
Crawford,1993,47582
Cuyahoga,1993,1426966
Darke,1993,53635
Defiance,1993,39552
Delaware,1993,75526
Erie,1993,78243
Fairfield,1993,110264
Fayette,1993,28098
Franklin,1993,1008616
Fulton,1993,39784
Gallia,1993,31076
Geauga,1993,82257
Greene,1993,142315
Guernsey,1993,39356
Hamilton,1993,873002
Hancock,1993,67776
Hardin,1993,31380
Harrison,1993,15990
Henry,1993,29281
Highland,1993,37637
Hocking,1993,26766
Holmes,1993,34497
Huron,1993,57212
Jackson,1993,31544
Jefferson,1993,79371
Knox,1993,49284
Lake,1993,222060
Lawrence,1993,62855
Licking,1993,133691
Logan,1993,44065
Lorain,1993,278090
Lucas,1993,461355
Madison,1993,39209
Mahoning,1993,266769
Marion,1993,65033
Medina,1993,131025
Meigs,1993,23286
Mercer,1993,40054
Miami,1993,95608
Monroe,1993,15269
Montgomery,1993,578999
Morgan,1993,14440
Morrow,1993,28790
Muskingum,1993,82882
Noble,1993,11635
Ottawa,1993,40193
Paulding,1993,20395
Perry,1993,32565
Pickaway,1993,50992
Pike,1993,25499
Portage,1993,145729
Preble,1993,40765
Putnam,1993,34316
Richland,1993,127792
Ross,1993,71858
Sandusky,1993,62506
Scioto,1993,80406
Seneca,1993,59726
Shelby,1993,46259
Stark,1993,374782
Summit,1993,528385
Trumbull,1993,229685
Tuscarawas,1993,86370
Union,1993,34192
Van Wert,1993,30231
Vinton,1993,11761
Warren,1993,123175
Washington,1993,63428
Wayne,1993,104927
Williams,1993,37752
Wood,1993,114490
Wyandot,1993,22463
Ohio,1994,11152454
Adams,1994,26550
Allen,1994,110138
Ashland,1994,50607
Ashtabula,1994,101479
Athens,1994,60377
Auglaize,1994,46262
Belmont,1994,70336
Brown,1994,38154
Butler,1994,314626
Carroll,1994,27545
Champaign,1994,37351
Clark,1994,147355
Clermont,1994,162726
Clinton,1994,37309
Columbiana,1994,111357
Coshocton,1994,36089
Crawford,1994,47448
Cuyahoga,1994,1426291
Darke,1994,53757
Defiance,1994,39584
Delaware,1994,79346
Erie,1994,78646
Fairfield,1994,112137
Fayette,1994,28221
Franklin,1994,1017751
Fulton,1994,39917
Gallia,1994,31155
Geauga,1994,83391
Greene,1994,143529
Guernsey,1994,39716
Hamilton,1994,869754
Hancock,1994,68477
Hardin,1994,31509
Harrison,1994,15831
Henry,1994,29292
Highland,1994,38136
Hocking,1994,27027
Holmes,1994,35324
Huron,1994,57487
Jackson,1994,31852
Jefferson,1994,78942
Knox,1994,50079
Lake,1994,223030
Lawrence,1994,62853
Licking,1994,135205
Logan,1994,44215
Lorain,1994,279752
Lucas,1994,460509
Madison,1994,39907
Mahoning,1994,265877
Marion,1994,67505
Medina,1994,133839
Meigs,1994,23347
Mercer,1994,40341
Miami,1994,96156
Monroe,1994,15170
Montgomery,1994,575200
Morgan,1994,14569
Morrow,1994,29164
Muskingum,1994,83326
Noble,1994,11634
Ottawa,1994,40206
Paulding,1994,20343
Perry,1994,33051
Pickaway,1994,51545
Pike,1994,25844
Portage,1994,146495
Preble,1994,41065
Putnam,1994,34565
Richland,1994,128281
Ross,1994,72283
Sandusky,1994,62589
Scioto,1994,80619
Seneca,1994,59853
Shelby,1994,46479
Stark,1994,376067
Summit,1994,531568
Trumbull,1994,229851
Tuscarawas,1994,87293
Union,1994,35089
Van Wert,1994,30288
Vinton,1994,11919
Warren,1994,126729
Washington,1994,63862
Wayne,1994,106020
Williams,1994,38137
Wood,1994,115415
Wyandot,1994,22539
Ohio,1995,11202751
Adams,1995,26823
Allen,1995,109841
Ashland,1995,50581
Ashtabula,1995,101821
Athens,1995,60881
Auglaize,1995,46454
Belmont,1995,70049
Brown,1995,38746
Butler,1995,318290
Carroll,1995,27890
Champaign,1995,37644
Clark,1995,147289
Clermont,1995,165351
Clinton,1995,37643
Columbiana,1995,111625
Coshocton,1995,36297
Crawford,1995,47516
Cuyahoga,1995,1422616
Darke,1995,53792
Defiance,1995,39923
Delaware,1995,82849
Erie,1995,79613
Fairfield,1995,114410
Fayette,1995,28258
Franklin,1995,1026057
Fulton,1995,40527
Gallia,1995,31307
Geauga,1995,84815
Greene,1995,145481
Guernsey,1995,40080
Hamilton,1995,865970
Hancock,1995,69158
Hardin,1995,31719
Harrison,1995,15853
Henry,1995,29421
Highland,1995,38691
Hocking,1995,27443
Holmes,1995,36326
Huron,1995,58030
Jackson,1995,31934
Jefferson,1995,78630
Knox,1995,51094
Lake,1995,224790
Lawrence,1995,62858
Licking,1995,136880
Logan,1995,44700
Lorain,1995,281085
Lucas,1995,458890
Madison,1995,40326
Mahoning,1995,264804
Marion,1995,67783
Medina,1995,136897
Meigs,1995,23451
Mercer,1995,40695
Miami,1995,96629
Monroe,1995,15196
Montgomery,1995,573498
Morgan,1995,14794
Morrow,1995,29588
Muskingum,1995,83797
Noble,1995,11837
Ottawa,1995,40466
Paulding,1995,20405
Perry,1995,33298
Pickaway,1995,52253
Pike,1995,26493
Portage,1995,147895
Preble,1995,41524
Putnam,1995,34758
Richland,1995,128217
Ross,1995,72645
Sandusky,1995,62788
Scioto,1995,80644
Seneca,1995,59665
Shelby,1995,46851
Stark,1995,377034
Summit,1995,534251
Trumbull,1995,229158
Tuscarawas,1995,88318
Union,1995,36308
Van Wert,1995,30252
Vinton,1995,12187
Warren,1995,130526
Washington,1995,64047
Wayne,1995,107344
Williams,1995,38663
Wood,1995,116887
Wyandot,1995,22638
Ohio,1996,11242827
Adams,1996,27273
Allen,1996,109573
Ashland,1996,51047
Ashtabula,1996,102128
Athens,1996,61205
Auglaize,1996,46682
Belmont,1996,71653
Brown,1996,39398
Butler,1996,322122
Carroll,1996,28124
Champaign,1996,37990
Clark,1996,147116
Clermont,1996,167937
Clinton,1996,38275
Columbiana,1996,111761
Coshocton,1996,36391
Crawford,1996,47513
Cuyahoga,1996,1418382
Darke,1996,53889
Defiance,1996,40220
Delaware,1996,88068
Erie,1996,80107
Fairfield,1996,115822
Fayette,1996,28500
Franklin,1996,1033866
Fulton,1996,40976
Gallia,1996,31313
Geauga,1996,86448
Greene,1996,145298
Guernsey,1996,40358
Hamilton,1996,862440
Hancock,1996,69599
Hardin,1996,31733
Harrison,1996,15902
Henry,1996,29507
Highland,1996,39120
Hocking,1996,27832
Holmes,1996,37005
Huron,1996,58667
Jackson,1996,32241
Jefferson,1996,77668
Knox,1996,51990
Lake,1996,226395
Lawrence,1996,62821
Licking,1996,133975
Logan,1996,44926
Lorain,1996,282321
Lucas,1996,458018
Madison,1996,40412
Mahoning,1996,263696
Marion,1996,67624
Medina,1996,140052
Meigs,1996,23333
Mercer,1996,40776
Miami,1996,96948
Monroe,1996,15203
Montgomery,1996,571942
Morgan,1996,14794
Morrow,1996,29864
Muskingum,1996,83958
Noble,1996,11823
Ottawa,1996,40452
Paulding,1996,20475
Perry,1996,33668
Pickaway,1996,52328
Pike,1996,26712
Portage,1996,149292
Preble,1996,41902
Putnam,1996,34761
Richland,1996,128894
Ross,1996,72990
Sandusky,1996,62666
Scioto,1996,80539
Seneca,1996,59621
Shelby,1996,46863
Stark,1996,377791
Summit,1996,537972
Trumbull,1996,228902
Tuscarawas,1996,88994
Union,1996,37276
Van Wert,1996,30173
Vinton,1996,12330
Warren,1996,134392
Washington,1996,64196
Wayne,1996,108632
Williams,1996,38813
Wood,1996,117474
Wyandot,1996,22699
Ohio,1997,11277357
Adams,1997,27291
Allen,1997,109150
Ashland,1997,51508
Ashtabula,1997,102703
Athens,1997,61172
Auglaize,1997,46583
Belmont,1997,71339
Brown,1997,40138
Butler,1997,325431
Carroll,1997,28470
Champaign,1997,38168
Clark,1997,146268
Clermont,1997,170952
Clinton,1997,38991
Columbiana,1997,111854
Coshocton,1997,36530
Crawford,1997,47400
Cuyahoga,1997,1411041
Darke,1997,53692
Defiance,1997,40030
Delaware,1997,93592
Erie,1997,80074
Fairfield,1997,117432
Fayette,1997,28567
Franklin,1997,1043193
Fulton,1997,41305
Gallia,1997,31473
Geauga,1997,88072
Greene,1997,144580
Guernsey,1997,40486
Hamilton,1997,859490
Hancock,1997,69902
Hardin,1997,31890
Harrison,1997,15999
Henry,1997,29499
Highland,1997,39251
Hocking,1997,27939
Holmes,1997,37576
Huron,1997,59050
Jackson,1997,32388
Jefferson,1997,76735
Knox,1997,52832
Lake,1997,227046
Lawrence,1997,62900
Licking,1997,135686
Logan,1997,45302
Lorain,1997,283518
Lucas,1997,457718
Madison,1997,40086
Mahoning,1997,262161
Marion,1997,67507
Medina,1997,142999
Meigs,1997,23296
Mercer,1997,40872
Miami,1997,97687
Monroe,1997,15167
Montgomery,1997,568983
Morgan,1997,14794
Morrow,1997,30309
Muskingum,1997,83990
Noble,1997,14111
Ottawa,1997,40689
Paulding,1997,20530
Perry,1997,33984
Pickaway,1997,52554
Pike,1997,27149
Portage,1997,149959
Preble,1997,42149
Putnam,1997,34655
Richland,1997,128868
Ross,1997,73527
Sandusky,1997,62386
Scioto,1997,80608
Seneca,1997,59524
Shelby,1997,47211
Stark,1997,377765
Summit,1997,539502
Trumbull,1997,228165
Tuscarawas,1997,89534
Union,1997,38360
Van Wert,1997,30206
Vinton,1997,12290
Warren,1997,139428
Washington,1997,64108
Wayne,1997,109578
Williams,1997,39011
Wood,1997,118827
Wyandot,1997,22622
Ohio,1998,11311536
Adams,1998,27422
Allen,1998,108599
Ashland,1998,52013
Ashtabula,1998,102836
Athens,1998,61417
Auglaize,1998,46671
Belmont,1998,71363
Brown,1998,40808
Butler,1998,328265
Carroll,1998,28637
Champaign,1998,38443
Clark,1998,145742
Clermont,1998,173634
Clinton,1998,39554
Columbiana,1998,112044
Coshocton,1998,36531
Crawford,1998,47380
Cuyahoga,1998,1405644
Darke,1998,53467
Defiance,1998,39866
Delaware,1998,99666
Erie,1998,79861
Fairfield,1998,119250
Fayette,1998,28541
Franklin,1998,1050922
Fulton,1998,41658
Gallia,1998,31324
Geauga,1998,89231
Greene,1998,146266
Guernsey,1998,40736
Hamilton,1998,855976
Hancock,1998,70482
Hardin,1998,31910
Harrison,1998,15956
Henry,1998,29394
Highland,1998,39933
Hocking,1998,28082
Holmes,1998,38173
Huron,1998,59133
Jackson,1998,32558
Jefferson,1998,75370
Knox,1998,53543
Lake,1998,227687
Lawrence,1998,62800
Licking,1998,141393
Logan,1998,45698
Lorain,1998,283428
Lucas,1998,456745
Madison,1998,40334
Mahoning,1998,260812
Marion,1998,67213
Medina,1998,145578
Meigs,1998,23161
Mercer,1998,41025
Miami,1998,98187
Monroe,1998,15234
Montgomery,1998,566715
Morgan,1998,14828
Morrow,1998,30623
Muskingum,1998,84188
Noble,1998,14334
Ottawa,1998,40906
Paulding,1998,20418
Perry,1998,33945
Pickaway,1998,53155
Pike,1998,27297
Portage,1998,150392
Preble,1998,42179
Putnam,1998,34799
Richland,1998,128540
Ross,1998,73835
Sandusky,1998,62102
Scioto,1998,80133
Seneca,1998,59250
Shelby,1998,47450
Stark,1998,377552
Summit,1998,540647
Trumbull,1998,227247
Tuscarawas,1998,90172
Union,1998,39320
Van Wert,1998,29864
Vinton,1998,12486
Warren,1998,145427
Washington,1998,63848
Wayne,1998,110314
Williams,1998,39090
Wood,1998,120081
Wyandot,1998,22803
Ohio,1999,11335454
Adams,1999,27422
Allen,1999,108192
Ashland,1999,52431
Ashtabula,1999,102796
Athens,1999,61856
Auglaize,1999,46663
Belmont,1999,70587
Brown,1999,41544
Butler,1999,330751
Carroll,1999,28763
Champaign,1999,38669
Clark,1999,145159
Clermont,1999,176389
Clinton,1999,40104
Columbiana,1999,112151
Coshocton,1999,36526
Crawford,1999,47156
Cuyahoga,1999,1399752
Darke,1999,53375
Defiance,1999,39712
Delaware,1999,105518
Erie,1999,79513
Fairfield,1999,121431
Fayette,1999,28420
Franklin,1999,1061223
Fulton,1999,41987
Gallia,1999,31156
Geauga,1999,90085
Greene,1999,147479
Guernsey,1999,40754
Hamilton,1999,849917
Hancock,1999,71019
Hardin,1999,31966
Harrison,1999,15880
Henry,1999,29267
Highland,1999,40539
Hocking,1999,28222
Holmes,1999,38594
Huron,1999,59266
Jackson,1999,32638
Jefferson,1999,74546
Knox,1999,54061
Lake,1999,227605
Lawrence,1999,62523
Licking,1999,143697
Logan,1999,46063
Lorain,1999,283364
Lucas,1999,455515
Madison,1999,40299
Mahoning,1999,259145
Marion,1999,66533
Medina,1999,149137
Meigs,1999,23209
Mercer,1999,40958
Miami,1999,98587
Monroe,1999,15233
Montgomery,1999,561944
Morgan,1999,14843
Morrow,1999,31198
Muskingum,1999,84388
Noble,1999,14009
Ottawa,1999,41017
Paulding,1999,20414
Perry,1999,33960
Pickaway,1999,52492
Pike,1999,27521
Portage,1999,151388
Preble,1999,42389
Putnam,1999,34654
Richland,1999,129233
Ross,1999,73287
Sandusky,1999,61777
Scioto,1999,79640
Seneca,1999,58957
Shelby,1999,47750
Stark,1999,378220
Summit,1999,541737
Trumbull,1999,226084
Tuscarawas,1999,90501
Union,1999,40154
Van Wert,1999,29825
Vinton,1999,12735
Warren,1999,152448
Washington,1999,63479
Wayne,1999,111191
Williams,1999,39106
Wood,1999,120869
Wyandot,1999,22897
Ohio,2000,11353140
Adams,2000,27330
Allen,2000,108473
Ashland,2000,52523
Ashtabula,2000,102728
Athens,2000,62223
Auglaize,2000,46611
Belmont,2000,70226
Brown,2000,42285
Butler,2000,332807
Carroll,2000,28836
Champaign,2000,38890
Clark,2000,144742
Clermont,2000,177977
Clinton,2000,40543
Columbiana,2000,112075
Coshocton,2000,36655
Crawford,2000,46966
Cuyahoga,2000,1393978
Darke,2000,53309
Defiance,2000,39500
Delaware,2000,109989
Erie,2000,79551
Fairfield,2000,122759
Fayette,2000,28433
Franklin,2000,1068978
Fulton,2000,42084
Gallia,2000,31069
Geauga,2000,90895
Greene,2000,147886
Guernsey,2000,40792
Hamilton,2000,845303
Hancock,2000,71295
Hardin,2000,31945
Harrison,2000,15856
Henry,2000,29210
Highland,2000,40875
Hocking,2000,28241
Holmes,2000,38943
Huron,2000,59487
Jackson,2000,32641
Jefferson,2000,73894
Knox,2000,54500
Lake,2000,227511
Lawrence,2000,62319
Licking,2000,145491
Logan,2000,46005
Lorain,2000,284664
Lucas,2000,455054
Madison,2000,40213
Mahoning,2000,257555
Marion,2000,66217
Medina,2000,151095
Meigs,2000,23072
Mercer,2000,40924
Miami,2000,98868
Monroe,2000,15180
Montgomery,2000,559062
Morgan,2000,14897
Morrow,2000,31628
Muskingum,2000,84585
Noble,2000,14058
Ottawa,2000,40985
Paulding,2000,20293
Perry,2000,34078
Pickaway,2000,52727
Pike,2000,27695
Portage,2000,152061
Preble,2000,42337
Putnam,2000,34726
Richland,2000,128852
Ross,2000,73345
Sandusky,2000,61792
Scioto,2000,79195
Seneca,2000,58683
Shelby,2000,47910
Stark,2000,378098
Summit,2000,542899
Trumbull,2000,225116
Tuscarawas,2000,90914
Union,2000,40909
Van Wert,2000,29659
Vinton,2000,12806
Warren,2000,158383
Washington,2000,63251
Wayne,2000,111564
Williams,2000,39188
Wood,2000,121065
Wyandot,2000,22908
Ohio,2001,NA
Adams,2001,27522
Allen,2001,108523
Ashland,2001,52560
Ashtabula,2001,102450
Athens,2001,62997
Auglaize,2001,46137
Belmont,2001,69901
Brown,2001,42839
Butler,2001,336679
Carroll,2001,28961
Champaign,2001,39047
Clark,2001,143803
Clermont,2001,179845
Clinton,2001,40777
Columbiana,2001,111370
Coshocton,2001,36975
Crawford,2001,46533
Cuyahoga,2001,1382520
Darke,2001,53110
Defiance,2001,39456
Delaware,2001,118646
Erie,2001,79308
Fairfield,2001,126245
Fayette,2001,28310
Franklin,2001,1082938
Fulton,2001,42169
Gallia,2001,31017
Geauga,2001,91429
Greene,2001,149643
Guernsey,2001,40860
Hamilton,2001,840335
Hancock,2001,71972
Hardin,2001,31753
Harrison,2001,15796
Henry,2001,29055
Highland,2001,41295
Hocking,2001,28452
Holmes,2001,39805
Huron,2001,59620
Jackson,2001,32670
Jefferson,2001,73043
Knox,2001,55460
Lake,2001,227648
Lawrence,2001,61965
Licking,2001,148226
Logan,2001,45865
Lorain,2001,285827
Lucas,2001,454855
Madison,2001,40256
Mahoning,2001,255264
Marion,2001,66156
Medina,2001,154363
Meigs,2001,23119
Mercer,2001,40819
Miami,2001,99300
Monroe,2001,15107
Montgomery,2001,555536
Morgan,2001,14942
Morrow,2001,32438
Muskingum,2001,84789
Noble,2001,13857
Ottawa,2001,41015
Paulding,2001,20183
Perry,2001,34375
Pickaway,2001,52344
Pike,2001,27807
Portage,2001,153554
Preble,2001,42427
Putnam,2001,34746
Richland,2001,128187
Ross,2001,73840
Sandusky,2001,61788
Scioto,2001,78784
Seneca,2001,58376
Shelby,2001,48662
Stark,2001,377295
Summit,2001,544554
Trumbull,2001,223991
Tuscarawas,2001,91319
Union,2001,42859
Van Wert,2001,29430
Vinton,2001,12966
Warren,2001,167851
Washington,2001,62847
Wayne,2001,112161
Williams,2001,39085
Wood,2001,122013
Wyandot,2001,22787
Ohio,2002,NA
Adams,2002,27817
Allen,2002,108518
Ashland,2002,52595
Ashtabula,2002,102577
Athens,2002,63401
Auglaize,2002,45943
Belmont,2002,70293
Brown,2002,43368
Butler,2002,339514
Carroll,2002,29172
Champaign,2002,39280
Clark,2002,143229
Clermont,2002,182143
Clinton,2002,41042
Columbiana,2002,111097
Coshocton,2002,37149
Crawford,2002,46271
Cuyahoga,2002,1371493
Darke,2002,53011
Defiance,2002,39303
Delaware,2002,126172
Erie,2002,78762
Fairfield,2002,129355
Fayette,2002,28370
Franklin,2002,1088693
Fulton,2002,42275
Gallia,2002,31083
Geauga,2002,91970
Greene,2002,151537
Guernsey,2002,40991
Hamilton,2002,832390
Hancock,2002,72617
Hardin,2002,31804
Harrison,2002,15902
Henry,2002,29119
Highland,2002,41857
Hocking,2002,28653
Holmes,2002,40475
Huron,2002,59917
Jackson,2002,32846
Jefferson,2002,72416
Knox,2002,56377
Lake,2002,227747
Lawrence,2002,61847
Licking,2002,150061
Logan,2002,46089
Lorain,2002,287489
Lucas,2002,454240
Madison,2002,40539
Mahoning,2002,252998
Marion,2002,66188
Medina,2002,157502
Meigs,2002,23305
Mercer,2002,40843
Miami,2002,99579
Monroe,2002,15006
Montgomery,2002,553170
Morgan,2002,14917
Morrow,2002,32955
Muskingum,2002,85247
Noble,2002,13931
Ottawa,2002,41029
Paulding,2002,19972
Perry,2002,34629
Pickaway,2002,51778
Pike,2002,28072
Portage,2002,154667
Preble,2002,42587
Putnam,2002,34643
Richland,2002,128363
Ross,2002,74363
Sandusky,2002,61918
Scioto,2002,78652
Seneca,2002,58090
Shelby,2002,48671
Stark,2002,376867
Summit,2002,544866
Trumbull,2002,222484
Tuscarawas,2002,91735
Union,2002,43517
Van Wert,2002,29327
Vinton,2002,13076
Warren,2002,174833
Washington,2002,62638
Wayne,2002,112684
Williams,2002,38959
Wood,2002,122206
Wyandot,2002,22813
Ohio,2003,NA
Adams,2003,28111
Allen,2003,107418
Ashland,2003,52867
Ashtabula,2003,102667
Athens,2003,63827
Auglaize,2003,45872
Belmont,2003,70219
Brown,2003,43794
Butler,2003,343022
Carroll,2003,29325
Champaign,2003,39395
Clark,2003,141758
Clermont,2003,184446
Clinton,2003,41250
