County,Year,Population
Lucas,1964,479238
Madison,1964,28259
Mahoning,1964,313755
Marion,1964,64313
Medina,1964,76806
Meigs,1964,21615
Mercer,1964,33935
Miami,1964,77671
Monroe,1964,15414
Montgomery,1964,579702
Morgan,1964,12597
Morrow,1964,20365
Muskingum,1964,80555
Noble,1964,10454
Ottawa,1964,37452
Paulding,1964,17463
Perry,1964,27334
Pickaway,1964,39278
Pike,1964,21126
Portage,1964,104623
Preble,1964,34716
Putnam,1964,29568
Richland,1964,128747
Ross,1964,63980
Sandusky,1964,60301
Scioto,1964,83419
Seneca,1964,61562
Shelby,1964,35652
Stark,1964,361483
Summit,1964,554120
Trumbull,1964,228406
Tuscarawas,1964,78753
Union,1964,23643
Van Wert,1964,29129
Vinton,1964,9944
Warren,1964,78342
Washington,1964,54668
Wayne,1964,82825
Williams,1964,31473
Wood,1964,78254
Wyandot,1964,22166
Ohio,1965,10564144
Adams,1965,19364
Allen,1965,111059
Ashland,1965,41363
Ashtabula,1965,99734
Athens,1965,47655
Auglaize,1965,38609
Belmont,1965,80161
Brown,1965,26837
Butler,1965,224781
Carroll,1965,21635
Champaign,1965,30871
Clark,1965,140685
Clermont,1965,102790
Clinton,1965,32344
Columbiana,1965,109057
Coshocton,1965,32819
Crawford,1965,51179
Cuyahoga,1965,1759001
Darke,1965,47478
Defiance,1965,34439
Delaware,1965,39212
Erie,1965,76195
Fairfield,1965,70195
Fayette,1965,25791
Franklin,1965,782678
Fulton,1965,30862
Gallia,1965,26534
Geauga,1965,59321
Greene,1965,113930
Guernsey,1965,38645
Hamilton,1965,937282
Hancock,1965,58726
Hardin,1965,29703
Harrison,1965,17055
Henry,1965,26915
Highland,1965,30280
Hocking,1965,20513
Holmes,1965,23088
Huron,1965,51062
Jackson,1965,29473
Jefferson,1965,98603
Knox,1965,40113
Lake,1965,189519
Lawrence,1965,58104
Licking,1965,101091
Logan,1965,36092
Lorain,1965,254680
Lucas,1965,483021
Madison,1965,28640
Mahoning,1965,315874
Marion,1965,65270
Medina,1965,78744
Meigs,1965,21369
Mercer,1965,34191
Miami,1965,78619
Monroe,1965,15454
Montgomery,1965,590644
Morgan,1965,12578
Morrow,1965,20574
Muskingum,1965,80725
Noble,1965,10345
Ottawa,1965,37004
Paulding,1965,17604
Perry,1965,27113
Pickaway,1965,39936
Pike,1965,21433
Portage,1965,107650
Preble,1965,35229
Putnam,1965,29813
Richland,1965,131047
Ross,1965,64513
Sandusky,1965,61075
Scioto,1965,82930
Seneca,1965,61902
Shelby,1965,36098
Stark,1965,365486
Summit,1965,562476
Trumbull,1965,232429
Tuscarawas,1965,79037
Union,1965,23787
Van Wert,1965,29106
Vinton,1965,9810
Warren,1965,81186
Washington,1965,55296
Wayne,1965,84321
Williams,1965,31808
Wood,1965,79414
Wyandot,1965,22270
Ohio,1966,10691488
Adams,1966,19202
Allen,1966,112229
Ashland,1966,41706
Ashtabula,1966,100733
Athens,1966,48321
Auglaize,1966,38974
Belmont,1966,79393
Brown,1966,27044
Butler,1966,228035
Carroll,1966,21712
Champaign,1966,30952
Clark,1966,142309
Clermont,1966,105368
Clinton,1966,32673
Columbiana,1966,109182
Coshocton,1966,32833
Crawford,1966,51876
Cuyahoga,1966,1772368
Darke,1966,47764
Defiance,1966,34995
Delaware,1966,39599
Erie,1966,77514
Fairfield,1966,71155
Fayette,1966,25879
Franklin,1966,799492
Fulton,1966,31107
Gallia,1966,26518
Geauga,1966,61449
Greene,1966,117309
Guernsey,1966,38494
Hamilton,1966,947873
Hancock,1966,59502
